iter	Passed	Remaining
0	166	165882
1	194	96994
2	235	78405
3	294	73227
4	320	63693
5	357	59247
6	426	60435
7	464	57577
8	495	54605
9	525	52057
10	561	50468
11	595	48989
12	626	47538
13	653	46001
14	681	44736
15	710	43683
16	735	42510
17	760	41465
18	783	40478
19	809	39646
20	834	38921
21	859	38194
22	885	37617
23	912	37091
24	939	36635
25	966	36218
26	992	35754
27	1016	35301
28	1047	35071
29	1081	34977
30	1119	34983
31	1150	34802
32	1180	34582
33	1206	34278
34	1237	34113
35	1272	34081
36	1307	34043
37	1338	33872
38	1367	33686
39	1394	33475
40	1424	33328
41	1458	33258
42	1488	33126
43	1524	33128
44	1561	33130
45	1593	33044
46	1623	32926
47	1657	32877
48	1693	32861
49	1724	32774
50	1755	32664
51	1787	32580
52	1818	32501
53	1852	32455
54	1886	32417
55	1931	32567
56	2056	34023
57	2168	35212
58	2212	35291
59	2253	35305
60	2282	35129
61	2310	34962
62	2335	34737
63	2362	34552
64	2387	34344
65	2412	34142
66	2451	34131
67	2489	34116
68	2527	34102
69	2564	34067
70	2597	33985
71	2628	33872
72	2661	33796
73	2690	33672
74	2719	33546
75	2747	33405
76	2776	33287
77	2802	33127
78	2830	33001
79	2858	32870
80	2884	32726
81	2909	32572
82	2936	32439
83	2964	32324
84	2989	32186
85	3012	32017
86	3037	31875
87	3061	31723
88	3085	31587
89	3110	31452
90	3136	31329
91	3165	31237
92	3191	31127
93	3221	31047
94	3248	30950
95	3276	30855
96	3303	30751
97	3328	30637
98	3355	30535
99	3380	30424
100	3413	30379
101	3440	30290
102	3469	30211
103	3494	30103
104	3523	30033
105	3549	29932
106	3576	29848
107	3602	29751
108	3626	29640
109	3651	29541
110	3674	29427
111	3699	29331
112	3723	29227
113	3750	29146
114	3773	29040
115	3799	28956
116	3824	28866
117	3850	28777
118	3874	28680
119	3897	28579
120	3919	28473
121	3944	28390
122	3970	28309
123	3995	28229
124	4026	28186
125	4051	28101
126	4075	28014
127	4098	27924
128	4123	27838
129	4149	27768
130	4174	27691
131	4198	27611
132	4225	27543
133	4254	27492
134	4281	27434
135	4311	27389
136	4340	27341
137	4371	27307
138	4402	27269
139	4430	27213
140	4457	27153
141	4484	27096
142	4512	27043
143	4541	26998
144	4572	26964
145	4603	26924
146	4632	26881
147	4660	26826
148	4688	26780
149	4720	26749
150	4758	26753
151	4786	26703
152	4819	26680
153	4848	26632
154	4916	26804
155	4977	26931
156	5015	26929
157	5042	26874
158	5067	26803
159	5093	26740
160	5117	26666
161	5145	26615
162	5168	26540
163	5194	26478
164	5218	26411
165	5245	26353
166	5272	26298
167	5296	26231
168	5320	26161
169	5345	26098
170	5370	26034
171	5393	25962
172	5415	25886
173	5437	25814
174	5461	25744
175	5487	25690
176	5509	25616
177	5532	25548
178	5557	25490
179	5581	25426
180	5658	25603
181	5720	25710
182	5747	25659
183	5774	25606
184	5802	25564
185	5827	25504
186	5855	25457
187	5880	25398
188	5908	25354
189	5937	25310
190	5961	25251
191	5988	25199
192	6013	25144
193	6038	25085
194	6067	25045
195	6089	24981
196	6114	24923
197	6142	24880
198	6171	24839
199	6197	24789
200	6221	24731
201	6245	24671
202	6271	24622
203	6300	24583
204	6325	24531
205	6352	24485
206	6380	24443
207	6405	24388
208	6428	24329
209	6453	24276
210	6478	24224
211	6501	24166
212	6524	24107
213	6549	24056
214	6576	24012
215	6601	23959
216	6623	23900
217	6647	23845
218	6669	23783
219	6691	23723
220	6714	23668
221	6737	23612
222	6762	23562
223	6784	23504
224	6807	23446
225	6831	23395
226	6853	23338
227	6878	23289
228	6900	23233
229	6923	23177
230	6946	23125
231	6971	23079
232	7001	23047
233	7030	23015
234	7060	22982
235	7087	22945
236	7112	22899
237	7141	22863
238	7164	22812
239	7189	22766
240	7212	22715
241	7238	22672
242	7263	22626
243	7286	22574
244	7309	22526
245	7380	22622
246	7430	22651
247	7489	22710
248	7526	22699
249	7553	22660
250	7580	22621
251	7611	22593
252	7638	22554
253	7665	22513
254	7692	22473
255	7722	22442
256	7749	22404
257	7776	22365
258	7804	22328
259	7831	22289
260	7860	22257
261	7888	22220
262	7915	22180
263	7942	22143
264	7970	22105
265	7994	22058
266	8022	22024
267	8049	21985
268	8078	21952
269	8110	21928
270	8142	21903
271	8169	21866
272	8195	21825
273	8223	21788
274	8251	21752
275	8279	21718
276	8306	21680
277	8334	21646
278	8361	21607
279	8388	21571
280	8415	21531
281	8439	21488
282	8463	21442
283	8488	21400
284	8515	21364
285	8538	21315
286	8560	21267
287	8584	21223
288	8607	21176
289	8630	21130
290	8655	21087
291	8680	21046
292	8703	21002
293	8735	20976
294	8768	20954
295	8802	20935
296	8837	20919
297	8868	20890
298	8893	20851
299	8922	20819
300	8951	20786
301	8975	20744
302	9000	20705
303	9027	20668
304	9051	20624
305	9077	20586
306	9101	20545
307	9130	20512
308	9157	20479
309	9182	20438
310	9215	20415
311	9252	20402
312	9284	20377
313	9316	20353
314	9352	20336
315	9383	20311
316	9412	20280
317	9442	20250
318	9468	20213
319	9496	20180
320	9526	20150
321	9553	20115
322	9580	20081
323	9608	20047
324	9632	20006
325	9659	19970
326	9683	19929
327	9709	19892
328	9735	19856
329	9759	19815
330	9783	19773
331	9809	19737
332	9836	19702
333	9861	19664
334	9886	19626
335	9912	19588
336	9939	19555
337	9963	19514
338	9987	19473
339	10009	19430
340	10034	19391
341	10059	19354
342	10087	19321
343	10126	19311
344	10158	19287
345	10188	19258
346	10221	19236
347	10254	19213
348	10290	19195
349	10315	19157
350	10341	19121
351	10369	19088
352	10392	19048
353	10419	19014
354	10448	18983
355	10472	18944
356	10498	18908
357	10524	18874
358	10551	18839
359	10575	18800
360	10614	18788
361	10646	18764
362	10681	18743
363	10712	18717
364	10736	18678
365	10762	18643
366	10785	18602
367	10809	18563
368	10835	18528
369	10857	18487
370	10883	18452
371	10916	18429
372	10948	18403
373	10973	18367
374	11003	18339
375	11031	18306
376	11063	18282
377	11089	18248
378	11120	18221
379	11151	18194
380	11180	18164
381	11212	18140
382	11238	18105
383	11265	18071
384	11288	18031
385	11312	17994
386	11336	17956
387	11361	17921
388	11386	17885
389	11411	17848
390	11434	17809
391	11458	17771
392	11482	17735
393	11586	17821
394	11629	17812
395	11697	17841
396	11727	17812
397	11752	17776
398	11778	17740
399	11802	17703
400	11826	17666
401	11851	17629
402	11876	17593
403	11904	17561
404	11929	17526
405	11952	17487
406	11977	17450
407	12000	17412
408	12025	17376
409	12048	17338
410	12075	17305
411	12105	17276
412	12130	17241
413	12158	17210
414	12186	17178
415	12213	17145
416	12246	17120
417	12277	17094
418	12309	17069
419	12341	17043
420	12370	17013
421	12397	16981
422	12425	16949
423	12450	16913
424	12474	16877
425	12498	16840
426	12527	16810
427	12554	16778
428	12582	16747
429	12609	16714
430	12636	16682
431	12660	16645
432	12687	16613
433	12712	16578
434	12740	16547
435	12764	16512
436	12787	16473
437	12811	16438
438	12836	16403
439	12860	16367
440	12888	16337
441	12913	16301
442	12940	16270
443	12970	16242
444	12998	16211
445	13026	16180
446	13055	16151
447	13089	16128
448	13119	16100
449	13149	16071
450	13176	16040
451	13205	16010
452	13236	15982
453	13264	15952
454	13289	15918
455	13314	15883
456	13338	15848
457	13364	15815
458	13388	15780
459	13412	15745
460	13435	15708
461	13488	15707
462	13557	15724
463	13716	15844
464	13784	15859
465	13826	15843
466	13857	15815
467	13894	15794
468	13924	15765
469	13956	15738
470	13992	15715
471	14020	15684
472	14048	15652
473	14081	15626
474	14114	15600
475	14145	15571
476	14170	15536
477	14199	15506
478	14227	15475
479	14254	15442
480	14282	15411
481	14310	15379
482	14335	15345
483	14361	15311
484	14388	15278
485	14412	15243
486	14436	15207
487	14460	15171
488	14484	15136
489	14509	15101
490	14533	15066
491	14563	15037
492	14591	15006
493	14617	14972
494	14645	14941
495	14673	14910
496	14703	14881
497	14730	14848
498	14760	14819
499	14786	14786
500	14811	14752
501	14839	14721
502	14865	14688
503	14890	14654
504	14920	14624
505	14944	14590
506	14972	14558
507	14997	14525
508	15023	14492
509	15047	14457
510	15077	14428
511	15108	14400
512	15135	14368
513	15160	14334
514	15188	14304
515	15215	14271
516	15241	14239
517	15267	14206
518	15292	14172
519	15318	14140
520	15344	14107
521	15371	14075
522	15396	14041
523	15419	14006
524	15442	13972
525	15468	13938
526	15492	13905
527	15517	13871
528	15542	13837
529	15568	13805
530	15591	13770
531	15617	13738
532	15643	13706
533	15667	13672
534	15690	13637
535	15714	13603
536	15736	13568
537	15762	13535
538	15788	13503
539	15813	13471
540	15840	13439
541	15871	13411
542	15902	13384
543	15939	13360
544	15971	13334
545	16003	13306
546	16044	13287
547	16074	13258
548	16105	13230
549	16139	13204
550	16171	13177
551	16208	13154
552	16246	13132
553	16284	13110
554	16317	13083
555	16358	13063
556	16401	13044
557	16437	13020
558	16473	12995
559	16511	12973
560	16544	12946
561	16580	12921
562	16610	12893
563	16639	12862
564	16672	12836
565	16709	12812
566	16745	12788
567	16882	12840
568	16915	12812
569	16948	12785
570	16981	12758
571	17014	12731
572	17045	12702
573	17076	12673
574	17116	12651
575	17148	12623
576	17178	12593
577	17209	12564
578	17239	12535
579	17274	12508
580	17305	12480
581	17336	12451
582	17365	12420
583	17391	12388
584	17419	12357
585	17445	12324
586	17473	12293
587	17500	12262
588	17528	12231
589	17556	12200
590	17585	12170
591	17614	12140
592	17643	12109
593	17673	12080
594	17741	12076
595	17805	12069
596	17834	12038
597	17858	12005
598	17885	11973
599	17914	11942
600	17940	11910
601	17968	11879
602	17993	11846
603	18018	11813
604	18044	11780
605	18070	11749
606	18096	11716
607	18119	11682
608	18143	11648
609	18167	11615
610	18193	11583
611	18217	11549
612	18241	11516
613	18268	11484
614	18292	11451
615	18317	11418
616	18343	11386
617	18367	11353
618	18397	11323
619	18426	11293
620	18453	11262
621	18483	11232
622	18512	11202
623	18535	11168
624	18559	11135
625	18581	11101
626	18605	11068
627	18632	11036
628	18656	11004
629	18680	10970
630	18704	10937
631	18731	10907
632	18758	10875
633	18784	10843
634	18813	10814
635	18843	10784
636	18870	10753
637	18900	10723
638	18926	10692
639	18954	10661
640	18979	10629
641	19007	10599
642	19033	10567
643	19062	10537
644	19088	10505
645	19115	10474
646	19144	10445
647	19167	10411
648	19195	10381
649	19221	10350
650	19246	10317
651	19271	10286
652	19296	10253
653	19319	10221
654	19342	10188
655	19367	10156
656	19391	10123
657	19414	10090
658	19438	10058
659	19462	10026
660	19486	9993
661	19510	9961
662	19537	9930
663	19558	9897
664	19581	9864
665	19605	9832
666	19628	9799
667	19651	9766
668	19678	9736
669	19703	9704
670	19726	9672
671	19751	9640
672	19774	9608
673	19800	9576
674	19823	9544
675	19846	9512
676	19869	9480
677	19895	9448
678	19922	9418
679	19946	9386
680	19970	9354
681	19993	9322
682	20017	9290
683	20042	9259
684	20067	9227
685	20090	9195
686	20119	9166
687	20148	9137
688	20179	9108
689	20260	9102
690	20298	9076
691	20324	9046
692	20370	9024
693	20439	9012
694	20483	8989
695	20518	8961
696	20545	8931
697	20573	8901
698	20602	8871
699	20642	8846
700	20685	8823
701	20735	8802
702	20773	8776
703	20803	8747
704	20833	8717
705	20861	8687
706	20887	8656
707	20915	8626
708	20944	8596
709	20971	8565
710	21001	8536
711	21032	8507
712	21063	8478
713	21093	8449
714	21119	8418
715	21146	8387
716	21173	8357
717	21200	8326
718	21231	8297
719	21269	8271
720	21316	8248
721	21355	8222
722	21384	8193
723	21417	8164
724	21454	8137
725	21496	8112
726	21550	8092
727	21609	8073
728	21640	8044
729	21671	8015
730	21700	7985
731	21729	7955
732	21759	7926
733	21790	7896
734	21823	7868
735	21856	7839
736	21891	7811
737	21938	7788
738	21990	7766
739	22109	7768
740	22147	7741
741	22191	7716
742	22230	7689
743	22268	7662
744	22304	7634
745	22339	7606
746	22371	7576
747	22403	7547
748	22440	7519
749	22507	7502
750	22577	7485
751	22673	7477
752	22737	7458
753	22774	7430
754	22807	7401
755	22842	7372
756	22876	7343
757	22909	7314
758	22952	7288
759	22994	7261
760	23034	7234
761	23077	7207
762	23121	7182
763	23150	7151
764	23174	7119
765	23200	7087
766	23225	7055
767	23250	7023
768	23274	6991
769	23298	6959
770	23321	6926
771	23345	6894
772	23371	6863
773	23396	6831
774	23421	6799
775	23447	6768
776	23472	6736
777	23502	6706
778	23537	6677
779	23585	6652
780	23634	6627
781	23679	6601
782	23706	6570
783	23737	6539
784	23766	6509
785	23795	6478
786	23829	6449
787	23859	6418
788	23888	6388
789	23917	6357
790	23948	6327
791	23981	6298
792	24014	6268
793	24049	6239
794	24083	6210
795	24119	6181
796	24148	6150
797	24176	6119
798	24204	6089
799	24239	6059
800	24270	6029
801	24302	5999
802	24332	5969
803	24365	5939
804	24400	5910
805	24431	5880
806	24465	5851
807	24497	5821
808	24525	5790
809	24556	5760
810	24588	5730
811	24625	5701
812	24663	5672
813	24697	5643
814	24726	5612
815	24753	5581
816	24781	5550
817	24807	5519
818	24835	5488
819	24861	5457
820	24896	5428
821	24929	5398
822	24960	5368
823	24992	5338
824	25026	5308
825	25056	5278
826	25083	5247
827	25110	5216
828	25140	5185
829	25172	5155
830	25207	5126
831	25242	5097
832	25276	5067
833	25312	5038
834	25346	5008
835	25378	4978
836	25407	4947
837	25436	4917
838	25466	4886
839	25491	4855
840	25518	4824
841	25540	4792
842	25567	4761
843	25591	4730
844	25616	4698
845	25639	4667
846	25663	4635
847	25693	4605
848	25719	4574
849	25742	4542
850	25766	4511
851	25839	4488
852	25874	4459
853	25939	4434
854	26010	4411
855	26059	4383
856	26104	4355
857	26155	4328
858	26200	4300
859	26239	4271
860	26272	4241
861	26301	4210
862	26329	4179
863	26354	4148
864	26382	4117
865	26410	4086
866	26437	4055
867	26465	4024
868	26495	3994
869	26522	3963
870	26550	3932
871	26579	3901
872	26618	3872
873	26663	3843
874	26697	3813
875	26726	3783
876	26757	3752
877	26780	3721
878	26806	3690
879	26831	3658
880	26855	3627
881	26880	3596
882	26909	3565
883	26935	3534
884	26960	3503
885	26988	3472
886	27012	3441
887	27037	3410
888	27062	3378
889	27087	3347
890	27112	3316
891	27140	3286
892	27166	3255
893	27192	3224
894	27214	3192
895	27240	3161
896	27263	3130
897	27290	3099
898	27314	3068
899	27339	3037
900	27361	3006
901	27385	2975
902	27410	2944
903	27435	2913
904	27464	2883
905	27494	2852
906	27522	2822
907	27549	2791
908	27577	2760
909	27602	2729
910	27626	2698
911	27651	2668
912	27675	2637
913	27703	2606
914	27726	2575
915	27747	2544
916	27770	2513
917	27790	2482
918	27815	2451
919	27839	2420
920	27865	2390
921	27891	2359
922	27920	2329
923	27956	2299
924	27995	2269
925	28030	2240
926	28059	2209
927	28096	2179
928	28132	2150
929	28161	2119
930	28192	2089
931	28225	2059
932	28257	2029
933	28285	1998
934	28310	1968
935	28337	1937
936	28364	1907
937	28388	1876
938	28414	1845
939	28438	1815
940	28464	1784
941	28489	1754
942	28515	1723
943	28544	1693
944	28570	1662
945	28599	1632
946	28627	1602
947	28654	1571
948	28682	1541
949	28708	1510
950	28731	1480
951	28756	1449
952	28781	1419
953	28806	1389
954	28829	1358
955	28855	1328
956	28879	1297
957	28907	1267
958	28932	1236
959	28960	1206
960	28990	1176
961	29012	1146
962	29038	1115
963	29064	1085
964	29092	1055
965	29116	1024
966	29145	994
967	29173	964
968	29198	934
969	29226	903
970	29249	873
971	29277	843
972	29304	813
973	29328	782
974	29352	752
975	29377	722
976	29404	692
977	29428	661
978	29452	631
979	29474	601
980	29496	571
981	29520	541
982	29543	510
983	29566	480
984	29589	450
985	29612	420
986	29637	390
987	29659	360
988	29684	330
989	29715	300
990	29745	270
991	29774	240
992	29803	210
993	29832	180
994	29855	150
995	29882	120
996	29909	89
997	29938	59
998	29962	29
999	29989	0
